Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,61.689999,63.189999,60.500000,62.340000,57.722542,7403600
2018-04-01,62.200001,63.110001,60.680000,61.139999,56.611427,11676200
2018-05-01,60.840000,61.779999,59.919998,60.889999,56.379948,6928100
2018-06-01,61.230000,62.020000,56.740002,57.840000,53.555855,4966600
2018-07-01,57.270000,59.959999,57.040001,59.880001,55.923027,6232400
2018-08-01,59.639999,59.990002,56.750000,59.169998,55.259941,10691400
2018-09-01,58.549999,59.470001,57.029999,59.299999,55.381355,13139200
2018-10-01,59.490002,59.490002,53.099998,54.980000,51.346825,17976900
2018-11-01,55.340000,57.770000,54.919998,57.360001,53.569553,12039600
2018-12-01,58.130001,58.299999,54.790001,55.869999,52.178013,23011200
2019-01-01,55.360001,59.430000,54.980000,59.380001,56.318195,16364900
2019-02-01,59.330002,59.919998,58.110001,58.750000,55.720676,16516500
2019-03-01,59.110001,60.250000,57.709999,59.270000,56.213863,19027600
2019-04-01,59.560001,60.270000,59.180000,59.919998,56.830345,17995800
2019-05-01,60.060001,60.290001,55.759998,57.099998,54.155758,19129200
2019-06-01,57.490002,59.209999,56.970001,58.860001,55.825005,9223200
2019-07-01,59.439999,59.439999,57.320000,57.810001,55.429005,20315600
2019-08-01,57.840000,58.130001,55.090000,56.790001,54.451012,15470300
2019-09-01,56.270000,58.349998,56.099998,57.090000,54.738659,9077100
2019-10-01,56.919998,58.779999,56.220001,58.360001,55.956348,8181900
2019-11-01,58.799999,59.700001,57.009998,57.040001,54.690716,8197200
2019-12-01,57.020000,58.880001,56.599998,58.660000,56.243996,7973700
2020-01-01,58.860001,59.580002,55.279999,55.450001,54.012665,12298000
2020-02-01,55.439999,57.340000,51.950001,53.360001,51.976841,15409900
2020-03-01,53.060001,54.869999,42.099998,46.919998,45.703766,34140800
2020-04-01,45.590000,51.259998,45.119999,50.580002,49.268898,18491900
2020-05-01,49.330002,51.270000,49.160000,51.130001,49.804642,15705200
2020-06-01,51.410000,54.130001,51.060001,52.000000,50.652092,10640000
2020-07-01,52.320000,55.470001,52.320000,54.520000,53.669563,7073000
2020-08-01,54.540001,56.680000,54.540001,55.680000,54.811470,7152300
2020-09-01,56.020000,56.529999,53.509998,55.180000,54.319271,7156400
2020-10-01,55.430000,56.980000,54.799999,54.959999,54.102699,8377200
2020-11-01,55.320000,60.099998,55.240002,59.099998,58.178120,8490600
2020-12-01,59.860001,61.590000,59.349998,61.080002,60.127239,7981100
2021-01-01,61.869999,64.019997,61.279999,61.680000,61.680000,7805600
